ID,lat,lng,Nex,Npos
cotedivoire-153,6.56851,-5.01674,30,2
cotedivoire-422,9.03233,-6.4635,34,0
cotedivoire-27,7.9507,-3.01032,30,0
cotedivoire-185,5.36544,-4.06674,30,0
cotedivoire-543,9.3638,-6.16283,32,0
cotedivoire-485,5.30748,-3.96316,33,0
cotedivoire-449,8.03555,-7.00534,31,0
cotedivoire-37,9.24634,-5.30912,30,0
cotedivoire-477,8.12235,-6.94861,35,0
cotedivoire-521,9.17171,-2.74548,30,0
cotedivoire-190,5.33753,-4.07251,30,0
cotedivoire-549,8.60997,-3.16825,32,0
cotedivoire-321,5.44725,-4.03008,30,0
cotedivoire-441,6.26501,-6.57061,32,4
cotedivoire-239,7.45906,-4.78219,30,0
cotedivoire-333,5.26946,-5.01544,30,0
cotedivoire-81,7.26239,-3.41762,30,0
cotedivoire-643,6.72755,-3.51411,30,0
cotedivoire-297,7.60431,-3.72879,30,0
cotedivoire-18,8.02654,-2.79337,30,0
cotedivoire-617,6.52834,-3.63093,30,0
cotedivoire-503,5.29916,-3.9798,30,0
cotedivoire-483,5.27144,-3.97223,30,0
cotedivoire-166,6.56541,-5.02461,30,3
cotedivoire-511,10.15359,-6.25621,32,0
cotedivoire-512,10.16474,-6.247,32,0
cotedivoire-613,5.33783,-3.9989,33,0
cotedivoire-389,5.24552,-3.91136,31,0
cotedivoire-340,7.16508,-4.39155,32,0
cotedivoire-612,5.34691,-3.99918,30,0
cotedivoire-298,6.50035,-4.29042,32,0
cotedivoire-112,10.02051,-5.36413,32,0
cotedivoire-404,5.24151,-4.24898,31,0
cotedivoire-409,5.26214,-4.72286,32,1
cotedivoire-529,5.30199,-3.98246,30,0
cotedivoire-44,6.07954,-3.40365,30,0
cotedivoire-352,7.45478,-4.57692,35,0
cotedivoire-210,5.41094,-3.99887,30,1
cotedivoire-312,5.33151,-4.88187,31,0
cotedivoire-408,5.31577,-4.72392,32,0
cotedivoire-392,5.24922,-3.94392,30,0
cotedivoire-337,5.4205,-4.03013,31,0
cotedivoire-624,8.09377,-7.48293,32,0
cotedivoire-591,5.36709,-3.9991,30,0
cotedivoire-129,10.23182,-5.45262,32,0
cotedivoire-226,6.50716,-8.1078,32,0
cotedivoire-111,10.17715,-5.38187,32,0
cotedivoire-243,5.40215,-4.0028,30,0
cotedivoire-115,9.53544,-5.37387,32,1
cotedivoire-191,5.33242,-4.0749,30,0
cotedivoire-306,5.44575,-4.06196,30,0
cotedivoire-101,7.14024,-3.18513,31,0
cotedivoire-234,7.40256,-4.98615,30,0
cotedivoire-520,10.06299,-6.25488,32,0
cotedivoire-72,9.42956,-6.01747,30,0
cotedivoire-329,5.42367,-4.0348,30,0
cotedivoire-75,9.30111,-6.06126,31,0
cotedivoire-458,6.48343,-6.58804,31,2
cotedivoire-82,7.17049,-3.23537,30,0
cotedivoire-45,6.07718,-3.40773,30,1
cotedivoire-461,9.27065,-2.98961,30,6
cotedivoire-327,7.46762,-3.96142,31,0
cotedivoire-487,5.30748,-3.97761,30,0
cotedivoire-144,7.28469,-2.98054,30,0
cotedivoire-25,8.03432,-2.78704,30,0
cotedivoire-275,7.35414,-3.97107,32,0
cotedivoire-186,5.35855,-4.07119,30,0
cotedivoire-514,9.87175,-3.42,30,0
cotedivoire-365,6.62997,-5.9169,32,3
cotedivoire-628,8.28438,-7.68611,32,0
cotedivoire-20,9.34381,-5.39547,33,1
cotedivoire-114,7.75273,-3.29273,32,0
cotedivoire-645,6.74103,-3.48687,31,0
cotedivoire-466,9.85272,-3.39256,30,3
cotedivoire-472,10.26849,-6.1316,32,0
cotedivoire-221,7.22921,-4.80734,30,4
cotedivoire-248,5.42931,-4.00855,30,0
cotedivoire-5,9.26232,-7.60792,30,0
cotedivoire-36,9.26395,-5.37392,32,1
cotedivoire-523,8.82159,-2.96255,30,1
cotedivoire-382,5.20034,-4.35532,30,0
cotedivoire-206,9.30158,-5.16305,32,1
cotedivoire-339,5.41832,-4.02006,31,0
cotedivoire-294,7.09825,-4.06442,30,0
cotedivoire-236,7.44813,-5.03396,30,0
cotedivoire-220,7.22901,-4.80717,30,5
cotedivoire-304,6.66213,-4.85071,35,0
cotedivoire-228,6.46447,-8.02142,30,0
cotedivoire-546,9.31025,-6.13492,32,0
cotedivoire-184,9.35249,-5.12225,32,0
cotedivoire-468,10.29361,-6.24311,32,0
cotedivoire-326,7.52373,-3.94106,31,0
cotedivoire-301,7.65298,-3.99834,30,0
cotedivoire-434,5.3158,-4.5627,33,0
cotedivoire-214,7.19777,-4.92718,30,0
cotedivoire-123,10.25569,-5.38007,32,0
cotedivoire-66,5.34804,-4.01525,30,0
cotedivoire-290,6.47514,-4.28395,32,0
cotedivoire-621,8.22723,-7.36796,33,1